,ID,Rejected,Gender,Car,Realty,Work Phone,Phone,Email,# of Children,Annual Income,Age,Years Employed,Family Size,Income Category,Occupation,Education,Marital Status,Residency
3233,5008806,0,1,1,1,0,0,0,0.0,low,highest,lowest,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3234,5008808,0,0,0,1,0,1,1,0.0,high,high,lowest,1.0,Commercial associate,Office,Secondary / secondary special,Single / not married,House / apartment
3235,5008809,0,0,0,1,0,1,1,0.0,high,high,lowest,1.0,Commercial associate,Office,Secondary / secondary special,Single / not married,House / apartment
3236,5008810,0,0,0,1,0,1,1,0.0,high,high,lowest,1.0,Commercial associate,Office,Secondary / secondary special,Single / not married,House / apartment
3237,5008811,0,0,0,1,0,1,1,0.0,high,high,lowest,1.0,Commercial associate,Office,Secondary / secondary special,Single / not married,House / apartment
3241,5008815,0,1,1,1,1,1,1,0.0,high,medium,lowest,2.0,Working,Office,Higher education,Married,House / apartment
3242,5008819,0,1,1,1,0,0,0,0.0,low,medium,lowest,2.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
3243,5008820,0,1,1,1,0,0,0,0.0,low,medium,lowest,2.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
3244,5008821,0,1,1,1,0,0,0,0.0,low,medium,lowest,2.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
3245,5008822,0,1,1,1,0,0,0,0.0,low,medium,lowest,2.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
3246,5008823,0,1,1,1,0,0,0,0.0,low,medium,lowest,2.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
3247,5008824,0,1,1,1,0,0,0,0.0,low,medium,lowest,2.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
3248,5008825,0,0,1,0,0,0,0,0.0,low,lowest,lowest,2.0,Working,Office,Incomplete higher,Married,House / apartment
3249,5008826,0,0,1,0,0,0,0,0.0,low,lowest,lowest,2.0,Working,Office,Incomplete higher,Married,House / apartment
3251,5008830,0,0,0,1,0,1,0,0.0,medium,lowest,lowest,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3252,5008831,0,0,0,1,0,1,0,0.0,medium,lowest,lowest,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3253,5008832,0,0,0,1,0,1,0,0.0,medium,lowest,lowest,2.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3256,5008836,0,1,1,1,0,0,0,2.0,high,low,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3257,5008837,0,1,1,1,0,0,0,2.0,high,low,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3258,5008838,0,1,0,1,0,0,0,1.0,high,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,House / apartment
3259,5008839,0,1,0,1,0,0,0,1.0,high,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,House / apartment
3260,5008840,0,1,0,1,0,0,0,1.0,high,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,House / apartment
3261,5008841,0,1,0,1,0,0,0,1.0,high,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,House / apartment
3262,5008842,0,1,0,1,0,0,0,1.0,high,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,House / apartment
3263,5008843,0,1,0,1,0,0,0,1.0,high,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,House / apartment
3264,5008844,0,1,1,1,0,1,0,0.0,low,high,low,2.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
3265,5008846,0,1,1,1,0,1,0,0.0,low,high,low,2.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
3266,5008847,0,1,1,1,0,1,0,0.0,low,high,low,2.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
3267,5008849,0,1,1,1,0,1,0,0.0,low,high,low,2.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
3268,5008850,0,1,1,1,0,1,0,0.0,low,high,low,2.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
3269,5008851,0,1,1,1,0,1,0,0.0,low,high,low,2.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
3270,5008852,0,1,1,1,0,1,0,0.0,low,high,low,2.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
3271,5008853,0,1,1,1,0,1,0,0.0,low,high,low,2.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
3272,5008854,0,0,1,1,0,0,0,2.0,low,medium,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3273,5008855,0,0,1,1,0,0,0,2.0,low,medium,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3274,5008856,0,0,1,1,0,0,0,2.0,low,medium,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3275,5008857,0,0,1,1,0,0,0,2.0,low,medium,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3276,5008858,0,0,1,1,0,0,0,2.0,low,medium,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3277,5008859,0,0,1,1,0,0,0,2.0,low,medium,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3278,5008860,0,0,1,1,0,0,0,2.0,low,medium,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3279,5008861,0,0,1,1,0,0,0,2.0,low,medium,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3280,5008862,0,0,1,1,0,0,0,2.0,low,medium,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3281,5008863,0,0,1,1,0,0,0,2.0,low,medium,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3282,5008864,0,0,1,1,0,0,0,2.0,low,medium,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3283,5008865,0,0,1,1,0,0,0,2.0,low,medium,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3284,5008866,0,0,1,1,0,0,0,2.0,low,medium,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3285,5008867,0,0,1,1,0,0,0,2.0,low,medium,lowest,3.0,Working,Labor,Secondary / secondary special,Married,House / apartment
3286,5008868,0,0,0,1,0,0,0,1.0,medium,medium,medium,3.0,State servant,Office,Secondary / secondary special,Civil marriage,House / apartment
3287,5008870,0,0,0,1,0,0,0,1.0,medium,medium,medium,3.0,State servant,Office,Secondary / secondary special,Civil marriage,House / apartment
3288,5008872,0,1,1,1,0,1,0,0.0,high,medium,low,2.0,Commercial associate,Labor,Secondary / secondary special,Married,House / apartment
3289,5008873,0,0,0,1,0,0,1,2.0,low,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,House / apartment
3290,5008874,0,0,0,1,0,0,1,2.0,low,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,House / apartment
3291,5008875,0,0,0,1,0,0,1,2.0,low,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,House / apartment
3292,5008876,0,0,0,1,0,0,1,2.0,low,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,House / apartment
3293,5008877,0,0,0,1,0,0,1,2.0,low,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,House / apartment
3294,5008878,0,0,0,1,0,0,1,2.0,low,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,House / apartment
3295,5008879,0,0,0,1,0,0,1,2.0,low,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,House / apartment
3296,5008880,0,0,0,1,0,0,1,2.0,low,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,House / apartment
3297,5008881,0,0,0,1,0,0,1,2.0,low,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,House / apartment
3298,5008882,0,0,0,1,0,0,1,2.0,low,low,lowest,3.0,Commercial associate,High Tech,Higher education,Married,House / apartment
3300,5008888,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Office,Higher education,Separated,Rented apartment
3301,5008889,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Office,Higher education,Separated,Rented apartment
3302,5008890,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Office,Higher education,Separated,Rented apartment
3303,5008891,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3304,5008892,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3305,5008893,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3306,5008894,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3307,5008895,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3308,5008896,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3309,5008897,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3310,5008898,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3311,5008899,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3312,5008900,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3313,5008901,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3314,5008902,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3315,5008903,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3316,5008904,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3317,5008905,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3318,5008906,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3319,5008907,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3320,5008908,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3321,5008909,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3322,5008910,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3323,5008911,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3324,5008912,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3325,5008913,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3326,5008914,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
3327,5008915,0,0,0,1,0,0,0,0.0,high,medium,lowest,1.0,Commercial associate,Labor,Secondary / secondary special,Single / not married,Rented apartment
